Sassareggio;Sassareggio;Imomona;Olizia;Covros;Salalona;;
Estaniche;Estaniche;Bragagoa;Ovas;Chasa;Tolen;;
Seisbon;Modirma;Odivendela;Ossecco;Chomis;Stavrouraia;;
Estrertaxo;Estrertaxo;Guacante;Lerno;Aleraele;Efkachni;;
Alzillon;Alzillon;Mazde;Spania;Caserpi;Meligyroi;;
Selona;Portile;Legafe;Narno;Legnaples;Flovia;;
Malalma;Malalma;Kamavos;Ranta;Viale;Syratonto;;
Agiaroupoli;Brasmo;Elefthendreia;Sima;Caniras;Colledica;;
Pynina;Pynina;Brinzaro;Aretta;Chacem;Chaxal;;
Rethyndri;Rethyndri;Breste;Pesca;Fuesa;Montetima;;
Modiggio;Modiggio;Trabasso;Inote;Fuenlaza;Saburosa;Sabutubal;
Rimindria;Rimindria;Marindra;Sana;Sevijon;Tarca;Guadalacete;Bava
Pracca;Pracca;Lirtaxo;Tana;Anasos;Tenellon;;
Guiga;Polirpia;Lleiba;Serto;Salalcis;Benivilla;Gelavega;
Licos;Licos;Aliron;Inas;Ptolerpia;Nafpastiada;;
Baleira;Baleira;Evolcis;Arene;Sento;Livaliada;;
Mostorona;Mostorona;Eryfni;Parmo;Taratone;Kifirdelio;Mofina;
Pontenea;Odivero;Agiadri;Mina;Scafarence;Barlelan;Mosia;
Madrimanet;Madrimanet;Altavento;Sandra;Gandovoa;Bolondisi;Rethyliro;
Starnes;Starnes;Castellarta;Crata;Tomento;Carranto;;
Kastomnos;Kastomnos;Cremocchia;Cese;Furante;Guimamaraes;;
Pallikaia;Pallikaia;Felgueimunde;Vorna;Ourellon;Sacandela;Palegento;
Vitetonto;Sabanada;Tondemara;Trosse;Sebarca;Sebugal;;
Sanrevia;Sanrevia;Benircon;Capio;Barceria;Alcaria;Foramo;Marildas
Trevirin;Trevirin;Eleumata;Ossas;Komokipoi;Tenerrol;;
Fabaca;Fabaca;Pesavento;Ariso;Kalylargos;Coloruna;;
Leinhel;Hodia;Bilieri;Mero;Vyropyrgos;Mytivala;;
Tarouxa;Tarouxa;Acelogna;Brendicci;Fiutonto;Patsi;Arteide;
Fecete;Budolid;Parerpa;Odivebal;Favoli;Alexavros;Grales;Penija
Bladolid;Bladolid;Lamedia;Maca;Faetina;Famola;Lleirm;
Tarrajoz;Efkaropi;Esmorro;Cali;Pelva;Verovorno;;
Polirissa;Blaron;Albazde;Terni;Baleirtaxo;Scafaggio;;
Glyktos;Chiomaria;Guadalbao;Antolza;Mealbom;Reres;Rebolos;
Kifada;Kifada;Lunse;Aras;Zagrono;Penibos;Goumao;
